AISC MANUAL LABEL,TYPE,Weight,Area,Depth,Height,Outer Diameter,bf,B,ID,tw,tf,T,TNOM,TDES,Kdes,Kdet,K1,X,Y,E0,XP,YP,bf/2tf,B_T,h/t,H_T,D_T,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,rz,J,Cw,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
,,lbs,in2,in,in,in,in,in,in,in,in,,in,in,in,in,IN,,,,,,,,,,,in4,in3,in3,in,in4,in3,in3,in,in,in4,in6,,,,,,,,,
W14X22,W,22.0,6.49,13.7,,,5.00,,,0.230,0.335,,,,0.735,1.0625,0.75,,,,,,7.46,,53.3,,,199,33.2,29.0,5.54,7.00,4.39,2.80,1.04,,0.208,314,,16.7,7.00,5.34,16.1,,,,
W12X336,W,336,98.8,16.8,,,13.4,,,1.78,2.96,,,,3.55,3.875,1.6875,,,,,,2.26,,5.47,,,4060,603,483,6.41,1190,274,177,3.47,,243,57000,,46.4,460,119,301,,,,
W12X305,W,305,89.6,16.3,,,13.2,,,1.63,2.71,,,,3.30,3.625,1.625,,,,,,2.45,,5.98,,,3550,537,435,6.29,1050,244,159,3.42,,185,48600,,44.8,401,107,267,,,,
W12X279,W,279,81.9,15.9,,,13.1,,,1.53,2.47,,,,3.07,3.375,1.625,,,,,,2.66,,6.35,,,3110,481,393,6.16,937,220,143,3.38,,143,42000,,44.0,356,96.0,240,,,,
W12X252,W,252,74.0,15.4,,,13.0,,,1.40,2.25,,,,2.85,3.125,1.5,,,,,,2.89,,6.96,,,2720,428,353,6.06,828,196,127,3.34,,108,35800,,42.7,313,85.8,213,,,,
W12X230,W,230,67.7,15.1,,,12.9,,,1.29,2.07,,,,2.67,2.9375,1.5,,,,,,3.11,,7.56,,,2420,386,321,5.97,742,177,115,3.31,,83.8,31200,,42.0,281,78.3,193,,,,
W12X210,W,210,61.8,14.7,,,12.8,,,1.18,1.90,,,,2.50,2.8125,1.4375,,,,,,3.37,,8.23,,,2140,348,292,5.89,664,159,104,3.28,,64.7,27200,,41.0,249,70.6,173,,,,
W12X190,W,190,55.8,14.4,,,12.7,,,1.06,1.74,,,,2.33,2.625,1.375,,,,,,3.65,,9.16,,,1890,311,263,5.82,589,143,93.0,3.25,,48.8,23600,,40.2,222,64.1,156,,,,
W12X170,W,170,50.0,14.0,,,12.6,,,0.960,1.56,,,,2.16,2.4375,1.3125,,,,,,4.03,,10.1,,,1650,275,235,5.74,517,126,82.3,3.22,,35.6,20100,,39.2,193,56.5,136,,,,
W12X152,W,152,44.7,13.7,,,12.5,,,0.870,1.40,,,,2.00,2.3125,1.25,,,,,,4.46,,11.2,,,1430,243,209,5.66,454,111,72.8,3.19,,25.8,17200,,38.4,168,50.1,121,,,,
W12X136,W,136,39.9,13.4,,,12.4,,,0.790,1.25,,,,1.85,2.125,1.25,,,,,,4.96,,12.3,,,1240,214,186,5.58,398,98.0,64.2,3.16,,18.5,14700,,37.7,146,44.1,106,,,,
W12X120,W,120,35.3,13.1,,,12.3,,,0.710,1.11,,,,1.70,2,1.1875,,,,,,5.57,,13.7,,,1070,186,163,5.51,345,85.4,56.0,3.13,,12.9,12400,,36.9,126,38.6,92.4,,,,
W12X106,W,106,31.2,12.9,,,12.2,,,0.610,0.990,,,,1.59,1.875,1.125,,,,,,6.17,,15.9,,,933,164,145,5.47,301,75.1,49.3,3.11,,9.13,10700,,36.3,110,34.2,81.0,,,,
W12X96,W,96.0,28.2,12.7,,,12.2,,,0.550,0.900,,,,1.50,1.8125,1.125,,,,,,6.76,,17.7,,,833,147,131,5.44,270,67.5,44.4,3.09,,6.85,9410,,36.0,98.8,30.9,73.0,,,,
W12X87,W,87.0,25.6,12.5,,,12.1,,,0.515,0.810,,,,1.41,1.6875,1.0625,,,,,,7.48,,18.9,,,740,132,118,5.38,241,60.4,39.7,3.07,,5.10,8270,,35.4,86.6,27.4,64.9,,,,
W12X79,W,79.0,23.2,12.4,,,12.1,,,0.470,0.735,,,,1.33,1.625,1.0625,,,,,,8.22,,20.7,,,662,119,107,5.34,216,54.3,35.8,3.05,,3.84,7330,,35.3,78.5,24.9,58.9,,,,
W12X72,W,72.0,21.1,12.3,,,12.0,,,0.430,0.670,,,,1.27,1.5625,1.0625,,,,,,8.99,,22.6,,,597,108,97.4,5.31,195,49.2,32.4,3.04,,2.93,6540,,34.9,70.1,22.5,53.2,,,,
W12X65,W,65.0,19.1,12.1,,,12.0,,,0.390,0.605,,,,1.20,1.5,1,,,,,,9.92,,24.9,,,533,96.8,87.9,5.28,174,44.1,29.1,3.02,,2.18,5780,,34.5,62.6,20.2,47.5,,,,
